paper_id,title,year,venue_bucket,task_bucket,local_registered,pdf_valid,extracted_text,original_tables_detected,original_figures_detected,structured_original_metric_rows,original_experiment_data_status,china_experiment_status,china_h1_rankic,china_h1_ic,china_h5_rankic,china_h5_ic,original_best_ic,original_best_rankic,h5_rankic_delta_vs_original,comparison_status,code_url,inclusion_source
2021_tra_lin,Learning Multiple Stock Trading Patterns with Temporal Routing Adaptor and Optimal Transport,2021,KDD 2021,stock_trend_ranking,yes,True,True,2,8,16,structured_original_metrics_available,formal_h1_h5_complete,-0.02132450,-0.00552884,-0.03135955,-0.01290636,0.05900000,,,ready_for_metric_level_comparison,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/TRA,local_registry
2023_doubleadapt_zhao,DoubleAdapt: A Meta-learning Approach to Incremental Learning for Stock Trend Forecasting,2023,KDD 2023,stock_trend_incremental,yes,True,True,3,7,24,structured_original_metrics_available,formal_h1_h5_complete,-0.00312869,0.00236500,0.05671244,0.06613830,0.06870000,0.06210000,-0.00538756,ready_for_metric_level_comparison,https://github.com/SJTU-DMTai/qlib,local_registry
2024_master_li,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,2024,AAAI 2024,stock_trend_ranking,yes,True,True,2,6,12,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,0.06400000,0.07600000,-0.09568499,ready_for_metric_level_comparison,https://github.com/SJTU-DMTai/qlib,local_registry
2022_hist_xu,HIST: A Graph-based Framework for Stock Trend Forecasting via Mining Concept-Oriented Shared Information,2022,venue_unverified,stock_trend_graph,yes,True,True,3,6,12,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,0.13100000,0.12600000,-0.15630684,ready_for_metric_level_comparison,https://github.com/microsoft/qlib,local_registry
2022_thgnn_xiang,Temporal and Heterogeneous Graph Neural Network for Financial Time Series Prediction,2022,CIKM 2022,stock_trend_graph,yes,True,True,3,6,14,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,,,,ready_for_metric_level_comparison,,local_registry
2023_estimate_huynh,Efficient Integration of Multi-Order Dynamics and Internal Dynamics in Stock Movement Prediction,2023,WSDM 2023,stock_movement_hypergraph,yes,True,True,3,7,4,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,0.08000000,0.51600000,-0.54630684,ready_for_metric_level_comparison,https://github.com/thanhtrunghuynh93/estimate,local_registry
2024_alphaforge_shi,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,2024,preprint,alpha_factor_mining,yes,True,True,3,3,4,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,0.04400000,0.05890000,-0.07858499,ready_for_metric_level_comparison,,local_registry
2026_alphaprobe_guo,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,2026,preprint,alpha_factor_mining,yes,True,True,4,8,21,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,0.09040000,0.11350000,-0.13318499,ready_for_metric_level_comparison,https://github.com/gta0804/AlphaPROBE,local_registry
2021_adarnn_du,AdaRNN: Adaptive Learning and Forecasting of Time Series,2021,venue_unverified,time_series_adaptation,yes,True,True,6,5,6,structured_original_metrics_available,formal_h1_h5_complete,-0.02718109,-0.01077460,-0.04531338,-0.02084717,0.11500000,0.11000000,-0.15531338,ready_for_metric_level_comparison,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/ADARNN,local_registry
2022_ddg_da_li,DDG-DA: Data Distribution Generation for Predictable Concept Drift Adaptation,2022,venue_unverified,stock_trend_concept_drift,yes,True,True,5,8,5,structured_original_metrics_available,formal_h1_h5_complete,-0.02718109,-0.01077460,-0.04531338,-0.02084717,0.13120000,,,ready_for_metric_level_comparison,https://github.com/microsoft/qlib,local_registry
