paper_id,title,authors,year,venue,pdf_url,code_url,task,tags,status,notes
2021_tra_lin,Learning Multiple Stock Trading Patterns with Temporal Routing Adaptor and Optimal Transport,"Hengxu Lin; Dong Zhou; Weiqing Liu; Jiang Bian",2021,KDD 2021,https://arxiv.org/abs/2106.12950,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/TRA,stock trend/ranking prediction,"CCF-A;stock prediction;mixture-of-experts;optimal transport;Qlib",candidate_verified,"Core CCF-A candidate. TRA module for multiple stock trading patterns."
2023_doubleadapt_zhao,DoubleAdapt: A Meta-learning Approach to Incremental Learning for Stock Trend Forecasting,"Lifan Zhao; Shuming Kong; Yanyan Shen",2023,KDD 2023,https://arxiv.org/abs/2306.09862,https://github.com/SJTU-DMTai/qlib,incremental stock trend forecasting,"CCF-A;concept drift;meta-learning;incremental learning;Qlib",candidate_verified,"Core CCF-A candidate. Code is in SJTU-DMTai qlib fork under examples/benchmarks_dynamic/incremental."
2024_master_li,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,"Tong Li; Zhaoyang Liu; Yanyan Shen; Xue Wang; Haokun Chen; Sen Huang",2024,AAAI 2024,https://arxiv.org/abs/2312.15235,https://github.com/SJTU-DMTai/qlib,stock price/ranking forecasting,"CCF-A;stock transformer;market-guided gating;cross-time stock correlation",candidate_verified,"Core CCF-A candidate. Repository page states this fork includes MASTER for re-experiment."
2022_hist_xu,HIST: A Graph-based Framework for Stock Trend Forecasting via Mining Concept-Oriented Shared Information,"Wentao Xu; Weiqing Liu; Lewen Wang; Yingce Xia; Jiang Bian; Jian Yin; Tie-Yan Liu",2022,preprint/venue_unverified,https://arxiv.org/abs/2110.13716,https://github.com/microsoft/qlib,stock trend forecasting,"secondary;graph learning;concept-oriented shared information;Qlib",candidate_secondary,"Strongly relevant and included in Qlib, but CCF-A venue not verified in this pass."
2022_thgnn_xiang,Temporal and Heterogeneous Graph Neural Network for Financial Time Series Prediction,"Sheng Xiang; Dawei Cheng; Chencheng Shang; Ying Zhang; Yuqi Liang",2022,CIKM 2022,https://arxiv.org/abs/2305.08740,,financial time series / stock movement prediction,"secondary;graph neural network;heterogeneous graph;dynamic relation",candidate_secondary,"Strong related method but CIKM is not the current CCF-A target bucket."
2023_estimate_huynh,Efficient Integration of Multi-Order Dynamics and Internal Dynamics in Stock Movement Prediction,"Thanh Trung Huynh; Minh Hieu Nguyen; Thanh Tam Nguyen; Phi Le Nguyen; Matthias Weidlich; Quoc Viet Hung Nguyen; Karl Aberer",2023,WSDM 2023,https://arxiv.org/abs/2211.07400,https://github.com/thanhtrunghuynh93/estimate,stock movement prediction,"secondary;hypergraph;wavelet attention;temporal generative filters",candidate_secondary,"Strong related method but WSDM is kept as secondary for now."
2024_alphaforge_shi,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,"Hao Shi; Weili Song; Xinting Zhang; Jiahe Shi; Cuicui Luo; Xiang Ao; Hamid Arian; Luis Seco",2024,preprint/venue_unverified,https://arxiv.org/abs/2406.18394,,alpha factor mining,"secondary;formulaic alpha;factor generation;dynamic factor combination",candidate_secondary,"Important alpha-mining candidate, venue/code need follow-up verification."
2026_alphaprobe_guo,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,"Taian Guo; Haiyang Shen; Junyu Luo; Binqi Chen; Hongjun Ding; Jinsheng Huang; Luchen Liu; Yun Ma; Ming Zhang",2026,preprint/venue_unverified,https://arxiv.org/abs/2602.11917,https://github.com/gta0804/AlphaPROBE,alpha factor mining,"secondary;DAG factor evolution;Bayesian retrieval;factor generation",candidate_secondary,"Very recent alpha-mining candidate with open-source code, not yet confirmed as CCF-A."
2021_adarnn_du,AdaRNN: Adaptive Learning and Forecasting of Time Series,"Yuntao Du; Jindong Wang; Wenjie Feng; Sinno Pan; Tao Qin; Renjun Xu; Chongjun Wang",2021,venue_unverified,https://arxiv.org/abs/2108.04443,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/ADARNN,time series forecasting / financial analysis,"expanded;domain adaptation;temporal covariate shift;Qlib",candidate_expanded,"General time-series model with financial analysis experiments; Qlib has runnable benchmark implementation."
2022_ddg_da_li,DDG-DA: Data Distribution Generation for Predictable Concept Drift Adaptation,"Wendi Li; Xiao Yang; Weiqing Liu; Yingce Xia; Jiang Bian",2022,venue_unverified,https://arxiv.org/abs/2201.04038,https://github.com/microsoft/qlib,stock price trend / concept drift adaptation,"expanded;concept drift;distribution generation;Qlib",candidate_expanded,"Explicitly includes stock price trend forecasting; Qlib release notes mention meta-learning framework and DDG-DA."
2021_tcts_wu,Temporally Correlated Task Scheduling for Sequence Learning,"Xueqing Wu et al.",2021,ICML 2021,https://proceedings.mlr.press/v139/wu21e/wu21e.pdf,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/TCTS,time series forecasting / alpha seeking,"expanded;CCF-A;multi-task;Qlib",candidate_expanded,"Paper URL verified from Qlib TCTS README and PMLR proceedings; Qlib provides runnable Alpha360 benchmark config."
2025_rd_agent_quant_li,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,"Yuante Li; Xu Yang; Xiao Yang; Minrui Xu; Xisen Wang; Weiqing Liu; Jiang Bian",2025,preprint,https://arxiv.org/abs/2505.15155,https://github.com/microsoft/RD-Agent,automated factor mining and model optimization,"expanded;factor mining;LLM agent;Qlib;RD-Agent",candidate_expanded,"Not CCF venue, but high-star Microsoft repo is directly tied to automated quant factor mining workflows."
